,x,rmse_den,acc_den,rmse_un,acc_un,rmse_rnd,acc_rnd
0,0,0.9433440020165105,-0.08567704366154322,0.9436252440967825,-0.08605981061751078,0.9438585821538099,-0.09039959513696055
1,1,0.9432872106845236,-0.08754589610365728,0.9425360129718408,-0.08148656781967817,0.9438483870258978,-0.0836115030616501
2,2,0.9449900922654112,-0.09493382018507951,0.943388561986583,-0.08287885767665437,0.9419788401698086,-0.07942016376896704
3,3,0.9442746663934055,-0.08644385773487823,0.9440488581939248,-0.08964763795272679,0.9417800569797377,-0.08055354831928302
4,4,0.941854502716291,-0.07696518447255157,0.9410350506682378,-0.07348201553955475,0.9444532568805143,-0.08831494602736334
