,rmse_den,rmse_rnd,rmse_un,x
0,0.9341801392947038,0.9347745155770965,0.93575813712987,0
1,0.9340303690920019,0.933912184767447,0.9341375540167542,1
2,0.9344694251043073,0.932741443834654,0.9333073883205909,2
3,0.9339076032811654,0.932325211416937,0.9338245425961654,3
4,0.9332272714338878,0.9319921256454371,0.9325901442709716,4
5,0.9340582981370681,0.9315572537520258,0.9335940040866844,5
6,0.934663318254705,0.9318707152867604,0.9346972278963288,6
7,0.9354898776443239,0.9313624315461633,0.9344034305937612,7
8,0.9336447145964826,0.9305927954449775,0.9349802826156233,8
9,0.9332934897615526,0.931063679294345,0.9344029648988235,9
10,0.9323050293052486,0.9305176543768866,0.9353908747175836,10
11,0.9315975098367343,0.9308293520005002,0.9355263582533213,11
12,0.9418368911462592,0.9289285304103633,0.9356903632958552,12
13,0.9427718090144662,0.9290455978572444,0.9356179989764457,13
14,0.9451220836387305,0.9290846955065735,0.9358951915109904,14
15,0.9455624556446286,0.9293379727643012,0.9350708597328085,15
16,0.9461550358706237,0.9308663889622495,0.9342155297655499,16
17,0.9461208733276808,0.9311985602352373,0.9342580720485496,17
18,0.9460622183882025,0.9318831681848043,0.9340890844256585,18
19,0.946908561420722,0.9315843933013037,0.932767509648845,19
20,0.9472310965625668,0.932114293649099,0.9331358542845448,20
21,0.9452965262512207,0.931209642368396,0.9322402092756881,21
22,0.9456391175945107,0.9306838956308245,0.9314153051112667,22
23,0.9456911610739572,0.9305186749508032,0.9333387158336,23
24,0.946981103022274,0.9304330680230228,0.9330647732881703,24
25,0.947413958102767,0.9392133243709955,0.9326542032951126,25
26,0.9470048710681389,0.9398798168381631,0.9324574641533383,26
27,0.9465086057433736,0.9305768577047879,0.9320830004418519,27
28,0.9457680541222833,0.9308354582526597,0.9323063175365229,28
29,0.9452166571612085,0.9401265959123151,0.9321117929999561,29
30,0.9453971819949052,0.9399890659800596,0.9338568396300606,30
31,0.9463220662260192,0.9419116406711894,0.9331523214674323,31
32,0.9466476182502999,0.9423131336552735,0.9341797438665129,32
33,0.9462298167365724,0.9432900305052685,0.9348700481907497,33
34,0.9475243049100927,0.9447789773087838,0.934568614107219,34
35,0.9458411333488932,0.9449441225342814,0.9338638485222757,35
36,0.9468732758043872,0.9439372262146253,0.933861317465738,36
37,0.9465756872329039,0.9435652138148761,0.9334163465818707,37
38,0.9481700787390364,0.9437555624857332,0.9327128995357028,38
39,0.9480510565748865,0.9435302580603977,0.9329618008450589,39
40,0.9489414154179308,0.9423757389979727,0.9329535789757115,40
41,0.9488843978495428,0.9443664501088667,0.9328499634525558,41
42,0.9490382380272808,0.9446215862634884,0.9330342060162728,42
43,0.9472476419201341,0.9460027471713826,0.9333160123147726,43
44,0.948339721290541,0.9464426515872744,0.9338120097403435,44
45,0.9490838290154555,0.9460378516224814,0.9342677995725645,45
46,0.9488825144340001,0.9463302999101537,0.9342395872806248,46
47,0.9482346903735162,0.9458833055533442,0.9361993706291132,47
48,0.9495469929945337,0.9458512057381023,0.9360947378190972,48
49,0.9502263696263742,0.9461132720649721,0.9358750892152503,49
50,0.9509350488654078,0.9463178666979666,0.9368973657019477,50
51,0.9524813984015743,0.9473008049340221,0.9366909705395086,51
52,0.9514396024490854,0.9479638180233705,0.9363238168843923,52
53,0.950929445891689,0.9474914474779157,0.937929163402444,53
54,0.9502799647686713,0.9462111640744121,0.9371611994590359,54
55,0.9507688969294198,0.946559419927065,0.9368805136633162,55
56,0.951014555925628,0.9436073735164989,0.9380409175428565,56
57,0.9464345899893858,0.9439491880900737,0.9387459487620424,57
58,0.9463519975972244,0.9386719183849699,0.9383542406350248,58
59,0.9377667963493698,0.9275047960103796,0.9393294742861288,59
60,0.9358793471284563,0.9280075798263253,0.9387572282100178,60
61,0.9366553285608525,0.9270907713804448,0.9398701734377062,61
62,0.9370640992174892,0.9270570210819902,0.9400876907305131,62
63,0.9373662558603203,0.9393493116629075,0.940521226146128,63
64,0.9391641860929881,0.9412870923141259,0.9406808223460359,64
65,0.9383222852705421,0.940622665146212,0.9401406052310672,65
66,0.9377854913548573,0.9414356137200206,0.9401247969310444,66
67,0.9382048888738515,0.9421751779510232,0.9399710012402969,67
68,0.9408523704872032,0.9412407720448221,0.9403220135055315,68
69,0.9393501712058581,0.9408908178849729,0.9404330464910149,69
70,0.9395537308861076,0.9371597138701848,0.9393834181970869,70
71,0.9390353864097589,0.9378487266132165,0.9396714735442508,71
72,0.9401866450630281,0.9381180605178208,0.9409752629313364,72
73,0.9399577573657301,0.9354668114137131,0.9407542975377261,73
74,0.9395896415762356,0.9349959125254179,0.9395508682355992,74
75,0.9389726964113356,0.926265488963375,0.938441129322698,75
76,0.9381177023664673,0.9258179183938402,0.9382548294130217,76
77,0.9397551706594861,0.9259062775970692,0.938304250758734,77
78,0.9409168292876484,0.926025384496152,0.9372187980186641,78
79,0.9400882072194577,0.9264234006941299,0.9374052101999257,79
80,0.9394103564399914,0.9267617776501905,0.9373921703236172,80
81,0.9405733837438592,0.92854047812168,0.937133211940176,81
