,x,rmse_den,acc_den,rmse_un,acc_un,rmse_rnd,acc_rnd
0,0,0.946226106766083,-0.07717277351411539,0.9464898933708782,-0.07622545837759154,0.9473199027828683,-0.08150788153060584
1,1,0.9460820591238772,-0.07906885610971259,0.9467251391147238,-0.07838394011283556,0.9464184455043871,-0.07836733136314483
2,2,0.9455577125243559,-0.07575786810167001,0.9464508405288461,-0.0777926786017592,0.9463357234795418,-0.08127258122640951
3,3,0.9459084461634057,-0.07667012413038238,0.9459109119468974,-0.07269223173389283,0.9468284978830703,-0.07932855964425212
4,4,0.9458089518796029,-0.0758307644403653,0.9458632200175483,-0.07616293451340489,0.9476052975517933,-0.08495233024728227
