,x,rmse_den,acc_den,rmse_un,acc_un,rmse_rnd,acc_rnd
0,0,0.9525293464595657,-0.17808396833554008,0.9833074505720503,-0.2521131607333502,0.9490747899925579,-0.09300033149928233
1,1,0.9611498582047142,-0.18972532051050894,1.0016799294216643,-0.3067408645772737,0.9522791605764402,-0.09995116038253848
2,2,0.971484038106203,-0.20833811948730607,1.0006725798239018,-0.2700937305168577,0.9555136941209055,-0.10699889477136793
3,3,0.9847079347986503,-0.22462425546486064,1.0047496663413937,-0.3183053204604678,0.9581899955713357,-0.11329512433344446
4,4,0.9923910991279197,-0.2550957282498525,1.0034015325048,-0.2993736451165241,0.9617164652297421,-0.12057070820979533
5,5,1.0069330937077052,-0.295214605688484,0.9644360703976349,-0.1917927100711967,0.9651092939886228,-0.12866724995740475
6,6,1.0188737427681147,-0.3240400929449492,0.9710364102688562,-0.23107555488233955,0.9684121764572817,-0.13593446118925268
7,7,1.0216910225752156,-0.3091783927344345,0.9889852548352402,-0.27850757526799175,0.9704559092787882,-0.1359752942218595
8,8,1.0502844959858668,-0.45110485651609133,0.9864070446954651,-0.2547656945971969,0.9736912701159081,-0.1495477046781034
9,9,1.03256342315664,-0.37525414708821747,0.9902258303746792,-0.22466419283317396,0.9708327385480194,-0.1411361138971191
10,10,1.0266960029126135,-0.3780625887326503,0.9820845698301138,-0.18660710478094422,0.9693050827602623,-0.14275100727982615
11,11,1.0115119873332312,-0.30488386490545416,0.9691657779944425,-0.15548580387340882,0.9671582189669784,-0.13314069041561338
12,12,1.0038914843781088,-0.2905807698576466,0.9749470865096013,-0.18242800290468952,0.9657660335023144,-0.13290735105064488
13,13,1.0104368044571763,-0.29570281843230206,0.9689269890638378,-0.17178862464888212,0.9679660320627006,-0.134389103650423
14,14,0.9996932465056305,-0.2539158145706131,0.9465654547745692,-0.0883931551273549,0.9664775339314591,-0.12712803820424712
15,15,1.0014017548915066,-0.2647353589923048,0.9369746583842571,-0.06793028340615692,0.9675722523686762,-0.13314148687231575
16,16,0.9983593597474082,-0.27653933097175265,0.9322281296721862,-0.06331781151348059,0.9674057503250063,-0.13919025138185104
17,17,0.9991518908710519,-0.26763275706501477,0.9330180732315364,-0.07282617775958056,0.9679701211015531,-0.1389000103290825
18,18,1.0047040299971215,-0.28032182210003964,0.92988964795446,-0.06489058627939825,0.9707759555761355,-0.14493105133982032
19,19,1.002914169821262,-0.27244782434960946,0.9206072175857318,-0.04093586043272801,0.9698727720579858,-0.14460601157563602
20,20,0.9999347577499743,-0.25860015117296165,0.92753437656989,-0.07951173113965171,0.9696847621422404,-0.14326859403489223
21,21,1.0043675976305195,-0.2801487294678283,0.9322590475261948,-0.09979182367643546,0.9715113503951411,-0.15032763906857627
22,22,1.0007371785271053,-0.24386819903924417,0.9281667413525598,-0.09471085303653747,0.9701973374245043,-0.1382355537144842
23,23,1.0077819659770955,-0.2638652449482145,0.9284100215205229,-0.08639138662396884,0.9729387241358289,-0.14383028097800726
24,24,1.0017558731620597,-0.25831603635446543,0.9303780660600727,-0.09183274209878123,0.9721084258589887,-0.1431042775871753
25,25,1.0039961049426367,-0.27086362173703404,0.9287902882571517,-0.08393774030708123,0.9735223215132296,-0.1492681512915331
26,26,1.0096168292358287,-0.28344208782918123,0.9285330261417322,-0.07756658162135499,0.9762967817356629,-0.15483380381444284
27,27,1.0002574637505626,-0.25687061677433287,0.9317951076705615,-0.09840041082612216,0.9743161754970031,-0.1477354453323535
28,28,1.0017579993592216,-0.2491123742928908,0.9276185197323534,-0.09034691026763976,0.9742805483100904,-0.14536119702076117
