,acc_den,acc_rnd,acc_un,rmse_den,rmse_rnd,rmse_un,x
0,-0.033357352137539084,-0.060696670678426115,-0.0282038478294723,0.9485058628920098,0.9611008593644732,0.946450799071714,0
1,-0.03515245345121256,-0.06040641347750397,-0.024069226590220975,0.9487100649171138,0.9612203447381715,0.9455119755901886,1
2,-0.03431442938515425,-0.06108405864655449,-0.026683580525363154,0.9488342486899726,0.9613719807540231,0.9456365244084604,2
3,-0.03576096133650743,-0.06157035238497777,-0.026351847110692737,0.9490150006412951,0.9615505888970248,0.9454992406748222,3
4,-0.03659509968441976,-0.061678184550827395,-0.02858816984702671,0.9490823794377646,0.9617293610725467,0.9461137176225706,4
5,-0.036609666949812616,-0.062405720289789954,-0.02971307975254781,0.9487952244581466,0.962164924458822,0.9461133737183802,5
6,-0.03860214695898205,-0.06433348024814288,-0.029988700698436573,0.9482877133868766,0.9628713729063726,0.946258892516824,6
7,-0.03765951709967519,-0.0632736176181996,-0.031493312450879336,0.9479107818035666,0.9625558429683351,0.9462364395125014,7
8,-0.038584846885172726,-0.06428821295861965,-0.028906344384753792,0.9480425402980488,0.9623998218064364,0.946140486631218,8
9,-0.039232075903219144,-0.06616104225897852,-0.02806533506269661,0.9481825237256838,0.9631799751673062,0.9456299850797067,9
10,-0.04267851736395502,-0.06629849311671118,-0.028682889095148878,0.9493834334446656,0.9631736277995466,0.9458105215251492,10
11,-0.04141039073736968,-0.06750777342967448,-0.03037475971722913,0.9488278482058199,0.9635759404955547,0.9466472088234581,11
12,-0.03954351052312223,-0.06724734488381677,-0.02953617081985649,0.9480783401289367,0.9637737965122317,0.9468111888680535,12
13,-0.03828218548060144,-0.06793534996833744,-0.029239309029554822,0.9474432185404225,0.9637055394962645,0.9461116822812341,13
14,-0.03762831888611518,-0.0665513072055686,-0.03434588497880584,0.9471058478698398,0.963290022522054,0.948046627865926,14
15,-0.035571316104150805,-0.06776372091336692,-0.03444367476788776,0.946277195111365,0.963663494260997,0.9481199687334766,15
16,-0.03477527916559138,-0.06979225851828876,-0.03817640265536265,0.9458388801442015,0.9642340826901855,0.9486882961247451,16
17,-0.03422964307346674,-0.07046806063142123,-0.03825504742804754,0.9456096810360114,0.9644898325723855,0.9484005662973973,17
18,-0.03228853276906584,-0.07083070632824762,-0.04253621797543229,0.9451800203147934,0.9649124759553589,0.9493257784227589,18
19,-0.027038350542142597,-0.07584500671983126,-0.04296595183477071,0.9447307952914306,0.9659912728288051,0.949258805416545,19
20,-0.02677189144368529,-0.07729929212244085,-0.04012910494748771,0.9444984554946847,0.9662924474580679,0.9491982302455573,20
21,-0.025618683143549523,-0.07767175050837405,-0.04128789102517018,0.9440804367948957,0.9662516938512533,0.9493534597296169,21
22,-0.023543263217966827,-0.0750040278323819,-0.04328876026307997,0.9433866783250384,0.9655380892040909,0.9497375546243549,22
23,-0.0249795521917536,-0.07651191871858144,-0.04116356874499032,0.9437832188070292,0.9658930604760156,0.9490788108575845,23
24,-0.024465171104597908,-0.076248714284758,-0.03910260951143831,0.9438605164563609,0.9659191637210445,0.948876555949543,24
25,-0.024506728785195046,-0.0770683720461506,-0.039521708949996286,0.9442120478296733,0.9662448950808277,0.949155596325461,25
26,-0.023866763215999523,-0.07370353654033984,-0.041068632949809,0.9439165609288385,0.9654057266739124,0.9490291556423895,26
27,-0.02309872599101513,-0.0747416807524238,-0.0419835480967084,0.9437721398993001,0.9658598511213434,0.9494897689498631,27
28,-0.02342845102518528,-0.07572104563838863,-0.0431065097569174,0.9440127182023261,0.965974275321392,0.9496812376301544,28
