,acc_den,acc_rnd,acc_un,rmse_den,rmse_rnd,rmse_un,x
0,-0.09305182422522372,-0.08852050648185869,-0.08248922987820081,0.9378858795417842,0.9344568855623641,0.9357754324592003,0
1,-0.09332561462741307,-0.0885968513660314,-0.08457987295427108,0.9381906246350686,0.9329083495439506,0.9358434388188575,1
2,-0.09623357013149152,-0.08977226020797308,-0.08375434850845517,0.9380729432196626,0.9332912527487915,0.9350178821454818,2
3,-0.10205745043144018,-0.09123033401665681,-0.08245162521686378,0.9388057211581806,0.9358794031265316,0.9347040310167384,3
4,-0.10017453370963483,-0.09121326610802508,-0.08490234717440419,0.939244661141364,0.9361663239734725,0.9350315776008913,4
5,-0.10420003860206331,-0.09227963250399891,-0.0880964336814109,0.9394178376046202,0.9380000061776059,0.9357995844035709,5
6,-0.09837270092401426,-0.08930127508951269,-0.08827047597245927,0.9395725368559193,0.9375595854724941,0.9358241582952587,6
7,-0.10500080422498215,-0.09160914069937524,-0.09010781333205571,0.9403592044029345,0.937677894222972,0.93557304741795,7
8,-0.10026182392885874,-0.09040590685536856,-0.0866859372917165,0.93939536000902,0.9375018329907561,0.9343860261326776,8
9,-0.09819803726305516,-0.09035231279777015,-0.08742156412824398,0.9385457820170685,0.9374148754358332,0.9338267755086903,9
10,-0.09450450962530671,-0.08852938871083135,-0.08285918908580797,0.9365830802902545,0.9372519700185208,0.9327330481858778,10
11,-0.0968297493750811,-0.08949719706918516,-0.08395642955838131,0.9366129313333593,0.9372782873490236,0.9331341119455555,11
12,-0.09163183682936249,-0.08913412591416854,-0.08518180360066518,0.9352361383871683,0.9371834974328035,0.9331403544283916,12
13,-0.09167898600056396,-0.08951392800613125,-0.0892411759967759,0.9352574163776896,0.9375030298595503,0.933512353906399,13
14,-0.08665167043060071,-0.08847275138275514,-0.08799561179971035,0.9343410788896761,0.9373975600191544,0.9334054482149852,14
15,-0.08837111548744385,-0.08900880876947145,-0.08730890218578923,0.9344759775665301,0.937842579283404,0.9329358278305487,15
16,-0.0861779411688922,-0.08883923509915359,-0.08600368316882713,0.9337762489173989,0.9381388586332076,0.9324927364275202,16
17,-0.08947963231304834,-0.0885809156487462,-0.08642931031685862,0.9340613647453987,0.9382197502164465,0.9332240997287005,17
18,-0.08837215976402332,-0.08869884810499185,-0.08694025584964703,0.9336189204099251,0.9384510783388069,0.9332065373444179,18
19,-0.08251461256400791,-0.0866505788042129,-0.087588236647801,0.9323977556227487,0.9382788475557706,0.9329376363649629,19
20,-0.08244674315541495,-0.08730645977435772,-0.09011752239500166,0.9322279423395297,0.9386788237447996,0.9335187494991678,20
21,-0.08185199695817291,-0.08769804467998768,-0.08771878068229111,0.9318611866739754,0.9387830789162757,0.9333834842733438,21
22,-0.0814909413308795,-0.08789115812502252,-0.08749162180623114,0.9318363378054346,0.9390253894674665,0.933279461860794,22
23,-0.08591686104875948,-0.09203114371720851,-0.08569223448526074,0.9323947109585973,0.9401168384201688,0.9331589311188981,23
24,-0.08737733441084006,-0.09282262781442649,-0.0781955723240098,0.9326763657929267,0.9403564853480946,0.931867941839656,24
25,-0.08299323619327839,-0.0903357887462827,-0.07936302132344947,0.9313539583321854,0.939884132017951,0.9319406007260254,25
26,-0.08155865085614522,-0.09016426583333095,-0.07863986831849111,0.931043879941114,0.9398917327018244,0.9320377069484989,26
27,-0.07984971211447825,-0.08887848485861399,-0.07690010283224448,0.9308378939237723,0.9399417845208109,0.9316465597595345,27
28,-0.08375625786769897,-0.09007756228185203,-0.08199042348257579,0.9316114798449067,0.9405951127276153,0.9328696489359445,28
29,-0.08106572793899036,-0.08935292158872288,-0.08161956406027458,0.9308656400654614,0.9403246122593888,0.9329574693020002,29
30,-0.08044638434837342,-0.09157895847231896,-0.07901679996117338,0.9305019483167885,0.9405894421241177,0.9324204489248828,30
31,-0.07444463175779392,-0.09128493550961098,-0.08167218284628322,0.9294047818667714,0.9407324021997211,0.933258417712717,31
32,-0.07475869696564837,-0.0921557249651292,-0.08274153811678042,0.9297014919662637,0.9409682645558723,0.9335809547834253,32
33,-0.07475730500582126,-0.09139015768079728,-0.08509556739695015,0.9298534406203205,0.940813925247798,0.9339047984773152,33
